Date,Product,Region,Units_Sold,Revenue
2026-01-01,Laptop,Karachi,12,14400
2026-01-02,Phone,Lahore,25,12500
2026-01-03,Tablet,Islamabad,8,2400
2026-01-04,Monitor,Karachi,15,4500
2026-01-05,Headphones,Lahore,30,3000
2026-01-06,Smartwatch,Peshawar,18,3600
2026-01-07,Laptop,Islamabad,5,6000
2026-01-08,Phone,Karachi,22,11000
2026-01-09,Tablet,Lahore,10,3000
2026-01-10,Monitor,Peshawar,14,4200
2026-01-11,Headphones,Karachi,40,4000
2026-01-12,Smartwatch,Lahore,12,2400
2026-01-13,Laptop,Peshawar,8,9600
2026-01-14,Phone,Islamabad,19,9500
2026-01-15,Tablet,Karachi,11,3300
2026-01-16,Monitor,Lahore,7,2100
2026-01-17,Headphones,Islamabad,28,2800
2026-01-18,Smartwatch,Karachi,15,3000
2026-01-19,Laptop,Lahore,9,10800
2026-01-20,Phone,Peshawar,14,7000
2026-01-21,Tablet,Islamabad,6,1800
2026-01-22,Monitor,Karachi,20,6000
2026-01-23,Headphones,Lahore,35,3500
2026-01-24,Smartwatch,Peshawar,22,4400
2026-01-25,Laptop,Karachi,11,13200
2026-01-26,Phone,Lahore,17,8500
2026-01-27,Tablet,Peshawar,13,3900
2026-01-28,Monitor,Islamabad,16,4800
2026-01-29,Headphones,Karachi,25,2500
2026-01-30,Smartwatch,Lahore,10,2000
2026-01-31,Laptop,Islamabad,7,8400
2026-02-01,Phone,Karachi,30,15000
2026-02-02,Tablet,Lahore,9,2700
2026-02-03,Monitor,Peshawar,11,3300
2026-02-04,Headphones,Islamabad,22,2200
2026-02-05,Smartwatch,Karachi,16,3200
2026-02-06,Laptop,Lahore,6,7200
2026-02-07,Phone,Peshawar,21,10500
2026-02-08,Tablet,Karachi,14,4200
2026-02-09,Monitor,Islamabad,18,5400
2026-02-10,Headphones,Lahore,31,3100
2026-02-11,Smartwatch,Peshawar,8,1600
2026-02-12,Laptop,Karachi,13,15600
2026-02-13,Phone,Islamabad,15,7500
2026-02-14,Tablet,Lahore,12,3600
2026-02-15,Monitor,Karachi,9,2700
2026-02-16,Headphones,Peshawar,27,2700
2026-02-17,Smartwatch,Islamabad,19,3800
2026-02-18,Laptop,Lahore,10,12000
2026-02-19,Phone,Karachi,26,13000
2026-02-20,Tablet,Peshawar,7,2100
2026-02-21,Monitor,Lahore,13,3900
2026-02-22,Headphones,Islamabad,33,3300
2026-02-23,Smartwatch,Karachi,14,2800
2026-02-24,Laptop,Peshawar,5,6000
2026-02-25,Phone,Lahore,23,11500
2026-02-26,Tablet,Islamabad,15,4500
2026-02-27,Monitor,Karachi,12,3600
2026-02-28,Headphones,Lahore,29,2900
2026-03-01,Smartwatch,Peshawar,11,2200
2026-03-02,Laptop,Karachi,14,16800
2026-03-03,Phone,Islamabad,18,9000
2026-03-04,Tablet,Lahore,8,2400
2026-03-05,Monitor,Peshawar,10,3000
2026-03-06,Headphones,Karachi,36,3600
2026-03-07,Smartwatch,Lahore,17,3400
2026-03-08,Laptop,Islamabad,6,7200
2026-03-09,Phone,Karachi,28,14000
2026-03-10,Tablet,Peshawar,10,3000
2026-03-11,Monitor,Lahore,15,4500
2026-03-12,Headphones,Islamabad,24,2400
2026-03-13,Smartwatch,Karachi,13,2600
2026-03-14,Laptop,Lahore,8,9600
2026-03-15,Phone,Peshawar,20,10000
2026-03-16,Tablet,Karachi,12,3600
2026-03-17,Monitor,Islamabad,7,2100
2026-03-18,Headphones,Lahore,32,3200
2026-03-19,Smartwatch,Peshawar,9,1800
2026-03-20,Laptop,Karachi,15,18000
2026-03-21,Phone,Islamabad,16,8000
2026-03-22,Tablet,Lahore,11,3300
2026-03-23,Monitor,Karachi,14,4200
2026-03-24,Headphones,Peshawar,26,2600
2026-03-25,Smartwatch,Islamabad,21,4200
2026-03-26,Laptop,Lahore,7,8400
2026-03-27,Phone,Karachi,24,12000
2026-03-28,Tablet,Peshawar,9,2700
2026-03-29,Monitor,Lahore,12,3600
2026-03-30,Headphones,Islamabad,30,3000
2026-03-31,Smartwatch,Karachi,18,3600
2026-04-01,Laptop,Peshawar,10,12000
2026-04-02,Phone,Lahore,22,11000
2026-04-03,Tablet,Islamabad,13,3900
2026-04-04,Monitor,Karachi,8,2400
2026-04-05,Headphones,Lahore,38,3800
2026-04-06,Smartwatch,Peshawar,12,2400
2026-04-07,Laptop,Karachi,11,13200
2026-04-08,Phone,Islamabad,19,9500
2026-04-09,Tablet,Lahore,14,4200
2026-04-10,Monitor,Peshawar,16,4800
